ApplicantIncome,CoapplicantIncome,CreditAmount,Credit_Status
5849.00,0.00,0.00,1
4583.00,1508.00,128.00,0
3000.00,0.00,66.00,1
2583.00,2358.00,120.00,1
6000.00,0.00,141.00,1
5417.00,4196.00,267.00,1
2333.00,1516.00,95.00,1
3036.00,2504.00,158.00,0
4006.00,1526.00,168.00,1
12841.00,10968.00,349.00,0
3200.00,700.00,70.00,1
2500.00,1840.00,109.00,1
3073.00,8106.00,200.00,1
1853.00,2840.00,114.00,0
1299.00,1086.00,17.00,1
4950.00,0.00,125.00,1
3596.00,0.00,100.00,1
3510.00,0.00,76.00,0
4887.00,0.00,133.00,0
2600.00,3500.00,115.00,1
7660.00,0.00,104.00,0
5955.00,5625.00,315.00,1
2600.00,1911.00,116.00,0
3365.00,1917.00,112.00,0
3717.00,2925.00,151.00,0
9560.00,0.00,191.00,1
2799.00,2253.00,122.00,1
4226.00,1040.00,110.00,1
1442.00,0.00,35.00,0
3750.00,2083.00,120.00,1
4166.00,3369.00,201.00,0
3167.00,0.00,74.00,0
4692.00,0.00,106.00,0
3500.00,1667.00,114.00,1
12500.00,3000.00,320.00,0
2275.00,2067.00,0.00,1
1828.00,1330.00,100.00,0
3667.00,1459.00,144.00,1
4166.00,7210.00,184.00,1
3748.00,1668.00,110.00,1
3600.00,0.00,80.00,0
1800.00,1213.00,47.00,1
2400.00,0.00,75.00,1
3941.00,2336.00,134.00,1
4695.00,0.00,96.00,1
3410.00,0.00,88.00,1
5649.00,0.00,44.00,1
5821.00,0.00,144.00,1
2645.00,3440.00,120.00,0
4000.00,2275.00,144.00,1
1928.00,1644.00,100.00,1
3086.00,0.00,120.00,1
4230.00,0.00,112.00,0
4616.00,0.00,134.00,0
11500.00,0.00,286.00,0
2708.00,1167.00,97.00,1
2132.00,1591.00,96.00,1
3366.00,2200.00,135.00,0
8080.00,2250.00,180.00,1
3357.00,2859.00,144.00,1
2500.00,3796.00,120.00,1
3029.00,0.00,99.00,1
2609.00,3449.00,165.00,0
4945.00,0.00,0.00,0
4166.00,0.00,116.00,0
5726.00,4595.00,258.00,0
3200.00,2254.00,126.00,0
10750.00,0.00,312.00,1
7100.00,0.00,125.00,1
4300.00,0.00,136.00,0
3208.00,3066.00,172.00,1
1875.00,1875.00,97.00,1
3500.00,0.00,81.00,1
4755.00,0.00,95.00,0
5266.00,1774.00,187.00,1
3750.00,0.00,113.00,0
3750.00,4750.00,176.00,0
1000.00,3022.00,110.00,0
3167.00,4000.00,180.00,0
3333.00,2166.00,130.00,1
3846.00,0.00,111.00,1
2395.00,0.00,0.00,1
1378.00,1881.00,167.00,0
6000.00,2250.00,265.00,0
3988.00,0.00,50.00,1
2366.00,2531.00,136.00,1
3333.00,2000.00,99.00,1
2500.00,2118.00,104.00,1
8566.00,0.00,210.00,1
5695.00,4167.00,175.00,1
2958.00,2900.00,131.00,1
6250.00,5654.00,188.00,1
3273.00,1820.00,81.00,1
4133.00,0.00,122.00,1
3620.00,0.00,25.00,1
6782.00,0.00,11.00,0
2484.00,2302.00,137.00,1
1977.00,997.00,50.00,1
4188.00,0.00,115.00,1
1759.00,3541.00,131.00,1
4288.00,3263.00,133.00,1
4843.00,3806.00,151.00,1
13650.00,0.00,11.00,1
4652.00,3583.00,1.00,1
3816.00,754.00,160.00,1
3052.00,1030.00,100.00,1
11417.00,1126.00,225.00,1
7333.00,0.00,120.00,0
3800.00,3600.00,216.00,0
2071.00,754.00,94.00,1
5316.00,0.00,136.00,1
2929.00,2333.00,139.00,1
3572.00,4114.00,152.00,0
7451.00,0.00,111.00,1
5050.00,0.00,118.00,1
14583.00,0.00,185.00,1
3167.00,2283.00,154.00,1
